Account name,Account IBAN,Counteraccount IBAN,Transaction date,Amount,Currency,Detail
Jos,BE69771770897312,BE43474488613434,Wed Feb 05 14:16:21 CET 2020,4479.4,EUR,Ut eos molestiae.
Jos,BE69771770897312,BE54394230483824,Mon Feb 03 21:21:04 CET 2020,-122.13,EUR,Eos aliquam quas consectetur non.
Jos,BE69771770897312,BE10105151289771,Mon Jan 27 09:32:59 CET 2020,-3599.75,EUR,Dolorem vel dicta rerum eum.
Jos,BE69771770897312,BE83909796052325,Sun Feb 09 12:32:29 CET 2020,423.67,EUR,Ut dolore laboriosam.
Jos,BE69771770897312,BE92190963604824,Tue Feb 18 20:51:03 CET 2020,2795.48,EUR,Unde rerum a doloribus culpa ad qui in.
Jos,BE69771770897312,BE72879458684730,Sun Jan 26 12:11:49 CET 2020,1728.56,EUR,Dolorum inventore aperiam adipisci aspernatur ut dolor repellat.
Jos,BE69771770897312,BE07055057459933,Thu Jan 30 20:15:36 CET 2020,4480.09,EUR,Officia iure tempora.
Jos,BE69771770897312,BE62446580956298,Tue Feb 18 16:56:34 CET 2020,-3672.32,EUR,Et temporibus ut non tenetur molestias in.
Jos,BE69771770897312,BE78371224900078,Sun Jan 26 18:33:20 CET 2020,-4728.42,EUR,Aperiam sint dicta vero.
Jos,BE69771770897312,BE12998042265808,Mon Feb 17 01:48:08 CET 2020,4600.35,EUR,Accusantium est reprehenderit.
Jos,BE69771770897312,BE06231274531722,Tue Feb 18 20:14:33 CET 2020,-1763.28,EUR,Illum rerum repellendus illo nobis temporibus ut vero.
Jos,BE69771770897312,BE95007889378929,Sun Feb 09 14:02:11 CET 2020,-1053.59,EUR,Quia incidunt aliquid at aperiam.
Jos,BE69771770897312,BE44555588839404,Mon Feb 17 14:05:37 CET 2020,641.44,EUR,Totam tempore sit commodi aut et ipsum occaecati.
Jos,BE69771770897312,BE08418370395763,Wed Feb 19 12:02:49 CET 2020,-1730.87,EUR,Ab eaque veritatis occaecati nesciunt corrupti.
Jos,BE69771770897312,BE54931626933278,Tue Feb 04 09:22:29 CET 2020,74.64,EUR,Dolores consequuntur voluptatem qui reiciendis non animi.
Jos,BE69771770897312,BE15640805111146,Sun Feb 16 15:38:21 CET 2020,3343.93,EUR,Debitis ut dolorum sed.
Jos,BE69771770897312,BE38725421266426,Mon Feb 17 04:10:49 CET 2020,-4740.93,EUR,Necessitatibus vel id iusto maiores consequuntur.
Jos,BE69771770897312,BE33184771643866,Sun Feb 16 13:02:39 CET 2020,1931.66,EUR,Enim iure ex non illum nobis.
Jos,BE69771770897312,BE98643532298505,Wed Feb 19 00:01:12 CET 2020,-4110.14,EUR,Libero voluptatem rem quidem praesentium voluptas vitae reprehenderit.
Jos,BE69771770897312,BE93355240395520,Thu Feb 06 16:28:33 CET 2020,1222.43,EUR,Aperiam est a repudiandae error cum.
Jos,BE69771770897312,BE68256296751098,Fri Feb 14 03:57:11 CET 2020,-1069.23,EUR,Adipisci amet cumque.
Jos,BE69771770897312,BE92346077215945,Wed Feb 19 01:49:35 CET 2020,984.06,EUR,Et et aut et odio.
Jos,BE69771770897312,BE18774879169237,Wed Feb 12 18:42:16 CET 2020,-397.64,EUR,Numquam perferendis voluptatibus suscipit sint cupiditate totam dolorum.
Jos,BE69771770897312,BE85758890626797,Wed Feb 05 03:00:42 CET 2020,-585.78,EUR,Sequi est ut aut et ratione.
Jos,BE69771770897312,BE34384663296487,Sun Feb 16 20:45:31 CET 2020,2085.86,EUR,Sunt quam aut et laudantium.
Jos,BE69771770897312,BE20898735823429,Fri Feb 14 08:15:22 CET 2020,-3284.4,EUR,Et velit fugiat ut.
Jos,BE69771770897312,BE51516531743494,Tue Feb 18 13:57:19 CET 2020,3353.9,EUR,Facere dolorum vel expedita delectus atque possimus.
Jos,BE69771770897312,BE23705833820695,Wed Feb 19 05:41:12 CET 2020,1867.3,EUR,Fugiat error tempore asperiores soluta ad blanditiis.
Jos,BE69771770897312,BE97881686289474,Mon Feb 17 05:16:37 CET 2020,4123.37,EUR,Consequatur dicta et illo.
Jos,BE69771770897312,BE84885719714414,Sat Feb 15 14:37:25 CET 2020,2073.73,EUR,Consequuntur iste quo autem et.
